class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,JOdr02_run_of_river,JOdr02_run_of_river,JOdr02_bus_el,,1E-16,,,,0,,,,,,,,,,,
Source,JOdr02_geothermal,JOdr02_geothermal,JOdr02_bus_el,,188,,,,0,,,,,,,,,,,
Storage,JOdr02_storage_phs,JOdr02_bus_el,JOdr02_storage_phs,,1E-16,,1,,,,0.000000001,,0.000000001,0,0.9,0.9,0.5,0,1,
Storage,JOdr02_storage_phs,JOdr02_storage_phs,JOdr02_bus_el,,1E-16,,1,,,,0.000000001,,,,,,,,,
Sink,JOdr02_load,JOdr02_bus_el,JOdr02_load,,1033,,,,seq,,,True,,,,,,,,
Source,JOdr02_hydroreservoir,JOdr02_hydroreservoir,JOdr02_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Storage,JOdr02_reservoir,JOdr02_bus_el,JOdr02_reservoir,,1E-16,,1,,seq,,0.000000001,True,1E-16,0,1,1,0.5,0,1,
Storage,JOdr02_reservoir,JOdr02_reservoir,JOdr02_bus_el,,1E-16,,1,,,,1E-10,,,,,,,,,
Storage,JOdr02_storage_battery,JOdr02_bus_el,JOdr02_storage_battery,,99999,,1,,,,0.000000001,,1140,0,0.9,0.9,0.5,0,1,
Storage,JOdr02_storage_battery,JOdr02_storage_battery,JOdr02_bus_el,,99999,,1,,,,0.000000001,,,,,,,,,
Source,JOdr02_csp_direct,JOdr02_csp_direct,JOdr02_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Source,JOdr02_csp,JOdr02_csp,JOdr02_bus_el,,1772,,1,,seq,,,True,,,,,,,,
Storage,JOdr02_cspstorage,JOdr02_bus_el,JOdr02_cspstorage,,1772,,1,,seq,,0.000000001,True,7974,0,1,0.95,1,0,1,
Storage,JOdr02_cspstorage,JOdr02_cspstorage,JOdr02_bus_el,,886,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### JOdr03 - Jordan Region 3,,,,,,,,,,,,,,,,,,,,
Sink,JOdr03_excess,JOdr03_bus_el,JOdr03_excess,,,,,,,,0.00000001,,,,,,,,,
Source,JOdr03_shortage,JOdr03_shortage,JOdr03_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,JOdr03_pp_hard_coal,GL_bus_hard_coal,JOdr03_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr03_pp_hard_coal,JOdr03_pp_hard_coal,JOdr03_bus_el,0.38,500,,1,,,35000,4,,,,,,,,,
LinearTransformer,JOdr03_pp_gas,GL_bus_gas,JOdr03_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr03_pp_gas,JOdr03_pp_gas,JOdr03_bus_el,0.425,1E-16,,1,,,19000,2,,,,,,,,,
LinearTransformer,JOdr03_pp_oil,GL_bus_oil,JOdr03_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr03_pp_oil,JOdr03_pp_oil,JOdr03_bus_el,0.34,500,,1,,,6000,1.5,,,,,,,,,
LinearTransformer,JOdr03_pp_biomass,GL_bus_biomass,JOdr03_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr03_pp_biomass,JOdr03_pp_biomass,JOdr03_bus_el,0.38,149,,1,8760,,29000,3.9,,,,,,,,,
Source,JOdr03_wind,JOdr03_wind,JOdr03_bus_el,,2019,,,,seq,,,True,,,,,,,,
Source,JOdr03_solar,JOdr03_solar,JOdr03_bus_el,,2601,,,,seq,,,True,,,,,,,,
Source,JOdr03_run_of_river,JOdr03_run_of_river,JOdr03_bus_el,,1E-16,,,,0,,,,,,,,,,,
Source,JOdr03_geothermal,JOdr03_geothermal,JOdr03_bus_el,,188,,,,0,,,,,,,,,,,
Storage,JOdr03_storage_phs,JOdr03_bus_el,JOdr03_storage_phs,,1E-16,,1,,,,0.000000001,,351000,0,0.9,0.9,0.5,0,1,
Storage,JOdr03_storage_phs,JOdr03_storage_phs,JOdr03_bus_el,,1E-16,,1,,,,0.000000001,,,,,,,,,
Sink,JOdr03_load,JOdr03_bus_el,JOdr03_load,,1918,,,,seq,,,True,,,,,,,,
Source,JOdr03_hydroreservoir,JOdr03_hydroreservoir,JOdr03_bus_el,,31.85,,1,,seq,,,True,,,,,,,,
Storage,JOdr03_reservoir,JOdr03_bus_el,JOdr03_reservoir,,31.85,,1,,seq,,0.000000001,True,101062.5,0,1,1,0.5,0,1,
Storage,JOdr03_reservoir,JOdr03_reservoir,JOdr03_bus_el,,125,,1,,,,1E-10,,,,,,,,,
Storage,JOdr03_storage_battery,JOdr03_bus_el,JOdr03_storage_battery,,999999,,1,,,,0.000000001,,1910,0,0.9,0.9,0.5,0,1,
Storage,JOdr03_storage_battery,JOdr03_storage_battery,JOdr03_bus_el,,999999,,1,,,,0.000000001,,,,,,,,,
Source,JOdr03_csp_direct,JOdr03_csp_direct,JOdr03_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Source,JOdr03_csp,JOdr03_csp,JOdr03_bus_el,,2890,,1,,seq,,,True,,,,,,,,
Storage,JOdr03_cspstorage,JOdr03_bus_el,JOdr03_cspstorage,,2890,,1,,seq,,0.000000001,True,13005,0,1,0.95,1,0,1,
Storage,JOdr03_cspstorage,JOdr03_cspstorage,JOdr03_bus_el,,1445,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### JOdr04 - Jordan Region 4,,,,,,,,,,,,,,,,,,,,
Sink,JOdr04_excess,JOdr04_bus_el,JOdr04_excess,,,,,,,,0.00000001,,,,,,,,,
Source,JOdr04_shortage,JOdr04_shortage,JOdr04_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,JOdr04_pp_uranium,GL_bus_uranium,JOdr04_pp_uranium,,,,,,,,,,,,,,,,,
