class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Storage,MAdr02_storage_phs,MAdr02_bus_el,MAdr02_storage_phs,,4032,,1,,,,0.000000001,,351000,0,0.9,0.9,0.5,0,1,
Storage,MAdr02_storage_phs,MAdr02_storage_phs,MAdr02_bus_el,,2842,,1,,,,0.000000001,,,,,,,,,
Sink,MAdr02_load,MAdr02_bus_el,MAdr02_load,,4391,,,,seq,,,True,,,,,,,,
Source,MAdr02_hydroreservoir,MAdr02_hydroreservoir,MAdr02_bus_el,,271.143256,,1,,seq,,,True,,,,,,,,
Storage,MAdr02_reservoir,MAdr02_bus_el,MAdr02_reservoir,,271.143256,,1,,seq,,0.000000001,True,180726524,0,1,1,0.5,0,1,
Storage,MAdr02_reservoir,MAdr02_reservoir,MAdr02_bus_el,,1550,,1,,,,1E-10,,,,,,,,,
Source,MAdr02_csp_direct,MAdr02_csp_direct,MAdr02_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Source,MAdr02_csp,MAdr02_csp,MAdr02_bus_el,,434,,1,,seq,,,True,,,,,,,,
Storage,MAdr02_cspstorage,MAdr02_bus_el,MAdr02_cspstorage,,434,,1,,seq,,0.000000001,True,1953,0,1,0.95,1,0,1,
Storage,MAdr02_cspstorage,MAdr02_cspstorage,MAdr02_bus_el,,217,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### MAdr03 - Morocco Region 3,,,,,,,,,,,,,,,,,,,,
Sink,MAdr03_excess,MAdr03_bus_el,MAdr03_excess,,,,,,,,0.00000001,,,,,,,,,
Source,MAdr03_shortage,MAdr03_shortage,MAdr03_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,MAdr03_pp_hard_coal,GL_bus_hard_coal,MAdr03_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_pp_hard_coal,MAdr03_pp_hard_coal,MAdr03_bus_el,0.38,601,,1,,,35000,4,,,,,,,,,
LinearTransformer,MAdr03_pp_gas,GL_bus_gas,MAdr03_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_pp_gas,MAdr03_pp_gas,MAdr03_bus_el,0.425,1205,,1,,,19000,2,,,,,,,,,
LinearTransformer,MAdr03_pp_oil,GL_bus_oil,MAdr03_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_pp_oil,MAdr03_pp_oil,MAdr03_bus_el,0.34,67,,1,,,6000,1.5,,,,,,,,,
LinearTransformer,MAdr03_pp_biomass,GL_bus_biomass,MAdr03_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr03_pp_biomass,MAdr03_pp_biomass,MAdr03_bus_el,0.38,692,,1,6500,,29000,3.9,,,,,,,,,
Source,MAdr03_wind,MAdr03_wind,MAdr03_bus_el,,11683,,,,seq,,,True,,,,,,,,
Source,MAdr03_solar,MAdr03_solar,MAdr03_bus_el,,3075,,,,seq,,,True,,,,,,,,
Source,MAdr03_run_of_river,MAdr03_run_of_river,MAdr03_bus_el,,1E-16,,,,0,,,,,,,,,,,
Source,MAdr03_geothermal,MAdr03_geothermal,MAdr03_bus_el,,1E-16,,,,0,,,,,,,,,,,
Storage,MAdr03_storage_phs,MAdr03_bus_el,MAdr03_storage_phs,,1E-16,,1,,,,0.000000001,,351000,0,0.9,0.9,0.5,0,1,
Storage,MAdr03_storage_phs,MAdr03_storage_phs,MAdr03_bus_el,,1E-16,,1,,,,0.000000001,,,,,,,,,
Sink,MAdr03_load,MAdr03_bus_el,MAdr03_load,,6276,,,,seq,,,True,,,,,,,,
Source,MAdr03_hydroreservoir,MAdr03_hydroreservoir,MAdr03_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Storage,MAdr03_reservoir,MAdr03_bus_el,MAdr03_reservoir,,1E-16,,1,,seq,,0.000000001,True,1E-16,0,1,1,0.5,0,1,
Storage,MAdr03_reservoir,MAdr03_reservoir,MAdr03_bus_el,,1E-16,,1,,,,1E-10,,,,,,,,,
Source,MAdr03_csp_direct,MAdr03_csp_direct,MAdr03_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Source,MAdr03_csp,MAdr03_csp,MAdr03_bus_el,,918,,1,,seq,,,True,,,,,,,,
Storage,MAdr03_cspstorage,MAdr03_bus_el,MAdr03_cspstorage,,918,,1,,seq,,0.000000001,True,4131,0,1,0.95,1,0,1,
Storage,MAdr03_cspstorage,MAdr03_cspstorage,MAdr03_bus_el,,459,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### MAdr04 - Morocco Region 4,,,,,,,,,,,,,,,,,,,,
Sink,MAdr04_excess,MAdr04_bus_el,MAdr04_excess,,,,,,,,0.00000001,,,,,,,,,
Source,MAdr04_shortage,MAdr04_shortage,MAdr04_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,MAdr04_pp_uranium,GL_bus_uranium,MAdr04_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr04_pp_uranium,MAdr04_pp_uranium,MAdr04_bus_el,0.325,1E-16,,1,,,55000,0.5,,,,,,,,,
LinearTransformer,MAdr04_pp_hard_coal,GL_bus_hard_coal,MAdr04_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr04_pp_hard_coal,MAdr04_pp_hard_coal,MAdr04_bus_el,0.38,1E-16,,1,,,35000,4,,,,,,,,,
LinearTransformer,MAdr04_pp_gas,GL_bus_gas,MAdr04_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr04_pp_gas,MAdr04_pp_gas,MAdr04_bus_el,0.425,1E-16,,1,,,19000,2,,,,,,,,,
LinearTransformer,MAdr04_pp_oil,GL_bus_oil,MAdr04_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr04_pp_oil,MAdr04_pp_oil,MAdr04_bus_el,0.34,1E-16,,1,,,6000,1.5,,,,,,,,,
LinearTransformer,MAdr04_pp_biomass,GL_bus_biomass,MAdr04_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr04_pp_biomass,MAdr04_pp_biomass,MAdr04_bus_el,0.38,591,,1,6500,,29000,3.9,,,,,,,,,
Source,MAdr04_wind,MAdr04_wind,MAdr04_bus_el,,19950,,,,seq,,,True,,,,,,,,
Source,MAdr04_solar,MAdr04_solar,MAdr04_bus_el,,4178,,,,seq,,,True,,,,,,,,
Source,MAdr04_run_of_river,MAdr04_run_of_river,MAdr04_bus_el,,1E-16,,,,0,,,,,,,,,,,
Source,MAdr04_geothermal,MAdr04_geothermal,MAdr04_bus_el,,1E-16,,,,0,,,,,,,,,,,
Storage,MAdr04_storage_phs,MAdr04_bus_el,MAdr04_storage_phs,,1E-16,,1,,,,0.000000001,,351000,0,0.9,0.9,0.5,0,1,
Storage,MAdr04_storage_phs,MAdr04_storage_phs,MAdr04_bus_el,,1E-16,,1,,,,0.000000001,,,,,,,,,
Sink,MAdr04_load,MAdr04_bus_el,MAdr04_load,,5362,,,,seq,,,True,,,,,,,,
Source,MAdr04_hydroreservoir,MAdr04_hydroreservoir,MAdr04_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Storage,MAdr04_reservoir,MAdr04_bus_el,MAdr04_reservoir,,1E-16,,1,,seq,,0.000000001,True,1E-16,0,1,1,0.5,0,1,
Storage,MAdr04_reservoir,MAdr04_reservoir,MAdr04_bus_el,,1E-16,,1,,,,1E-10,,,,,,,,,
Source,MAdr04_csp_direct,MAdr04_csp_direct,MAdr04_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Source,MAdr04_csp,MAdr04_csp,MAdr04_bus_el,,1202,,1,,seq,,,True,,,,,,,,
Storage,MAdr04_cspstorage,MAdr04_bus_el,MAdr04_cspstorage,,1202,,1,,seq,,0.000000001,True,5409,0,1,0.95,1,0,1,
Storage,MAdr04_cspstorage,MAdr04_cspstorage,MAdr04_bus_el,,601,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### AL - Electric neighbour Algeria,,,,,,,,,,,,,,,,,,,,
Sink,AL_excess,AL_bus_el,AL_excess,,,,,,,,0.00000001,,,,,,,,,
Source,AL_shortage,AL_shortage,AL_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,AL_pp_hard_coal_0,GL_bus_hard_coal,AL_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,AL_pp_hard_coal_0,AL_pp_hard_coal_0,AL_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,AL_pp_biomass,AL_pp_biomass,AL_bus_el,,1E-16,,,,0.85,,,True,,,,,,,,
Source,AL_wind,AL_wind,AL_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,AL_solar,AL_solar,AL_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,AL_run_of_river,AL_run_of_river,AL_bus_el,,1E-16,,,,0,,,True,,,,,,,,
Storage,AL_storage_phs,AL_bus_el,AL_storage_phs,,1E-16,,0.85,,,,0,,1E-10,0,0.9,0.9,0.5,0,1,
Storage,AL_storage_phs,AL_storage_phs,AL_bus_el,,1E-16,,0.85,,,,0,,,,,,,,,
Sink,AL_load,AL_bus_el,AL_load,,1E-16,,,,seq,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### MR - Electric neighbour Mauretania,,,,,,,,,,,,,,,,,,,,
Sink,MR_excess,MR_bus_el,MR_excess,,,,,,,,0.00000001,,,,,,,,,
Source,MR_shortage,MR_shortage,MR_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,MR_pp_uranium,GL_bus_uranium,MR_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,MR_pp_uranium,MR_pp_uranium,MR_bus_el,0.325,1E-16,,0.85,,,1E-10,0.5,,,,,,,,,
LinearTransformer,MR_pp_lignite,GL_bus_lignite,MR_pp_lignite,,,,,,,,,,,,,,,,,
LinearTransformer,MR_pp_lignite,MR_pp_lignite,MR_bus_el,0.38,1E-16,,0.85,,,1E-10,4.4,,,,,,,,,
LinearTransformer,MR_pp_hard_coal_0,GL_bus_hard_coal,MR_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,MR_pp_hard_coal_0,MR_pp_hard_coal_0,MR_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
LinearTransformer,MR_pp_gas,GL_bus_gas,MR_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,MR_pp_gas,MR_pp_gas,MR_bus_el,0.425,1E-16,,0.85,,,1E-10,2,,,,,,,,,
LinearTransformer,MR_pp_oil,GL_bus_oil,MR_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,MR_pp_oil,MR_pp_oil,MR_bus_el,0.34,1E-16,,0.85,,,1E-10,1.5,,,,,,,,,
LinearTransformer,MR_pp_mixed_fuels,GL_bus_mixed_fuels,MR_pp_mixed_fuels,,,,,,,,,,,,,,,,,
LinearTransformer,MR_pp_mixed_fuels,MR_pp_mixed_fuels,MR_bus_el,0.26,1E-16,,0.85,,,1E-10,23,,,,,,,,,
LinearTransformer,MR_pp_biomass,GL_bus_biomass,MR_pp_biomass,,,,,,,,,,,,,,,,,
