class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,TNdr02_run_of_river,TNdr02_run_of_river,TNdr02_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,TNdr02_geothermal,TNdr02_geothermal,TNdr02_bus_el,,125,,,,seq,,,True,,,,,,,,
Storage,TNdr02_storage_phs,TNdr02_bus_el,TNdr02_storage_phs,,1E-16,,1,,,,0.000000001,,0.000000001,0,0.9,0.9,0.5,0,1,
Storage,TNdr02_storage_phs,TNdr02_storage_phs,TNdr02_bus_el,,1E-16,,1,,,,0.000000001,,,,,,,,,
Sink,TNdr02_load,TNdr02_bus_el,TNdr02_load,,889,,,,seq,,,True,,,,,,,,
Source,TNdr02_hydroreservoir,TNdr02_hydroreservoir,TNdr02_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Storage,TNdr02_reservoir,TNdr02_bus_el,TNdr02_reservoir,,1E-16,,1,,seq,,0.000000001,True,1E-16,0,1,1,0.5,0,1,
Storage,TNdr02_reservoir,TNdr02_reservoir,TNdr02_bus_el,,1E-16,,1,,,,1E-10,,,,,,,,,
Storage,TNdr02_storage_battery,TNdr02_bus_el,TNdr02_storage_battery,,1E-16,,1,,,,0.000000001,,1140,0,0.9,0.9,0.5,0,1,
Storage,TNdr02_storage_battery,TNdr02_storage_battery,TNdr02_bus_el,,1E-16,,1,,,,0.000000001,,,,,,,,,
Source,TNdr02_csp_direct,TNdr02_csp_direct,TNdr02_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Source,TNdr02_csp,TNdr02_csp,TNdr02_bus_el,,2774,,1,,seq,,,True,,,,,,,,
Storage,TNdr02_cspstorage,TNdr02_bus_el,TNdr02_cspstorage,,2774,,1,,seq,,0.000000001,True,11096,0,0.9,0.9,1,0,1,
Storage,TNdr02_cspstorage,TNdr02_cspstorage,TNdr02_bus_el,,1387,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### TNdr03 - Tunisia Region 3,,,,,,,,,,,,,,,,,,,,
Sink,TNdr03_excess,TNdr03_bus_el,TNdr03_excess,,,,,,,,0.00000001,,,,,,,,,
Source,TNdr03_shortage,TNdr03_shortage,TNdr03_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,TNdr03_pp_uranium,GL_bus_uranium,TNdr03_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_pp_uranium,TNdr03_pp_uranium,TNdr03_bus_el,0.325,1E-16,,1,,,55000,0.5,,,,,,,,,
LinearTransformer,TNdr03_pp_hard_coal,GL_bus_hard_coal,TNdr03_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_pp_hard_coal,TNdr03_pp_hard_coal,TNdr03_bus_el,0.38,1E-16,,1,,,35000,4,,,,,,,,,
LinearTransformer,TNdr03_pp_gas,GL_bus_gas,TNdr03_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_pp_gas,TNdr03_pp_gas,TNdr03_bus_el,0.425,1200,,1,,,19000,2,,,,,,,,,
LinearTransformer,TNdr03_pp_oil,GL_bus_oil,TNdr03_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_pp_oil,TNdr03_pp_oil,TNdr03_bus_el,0.34,1E-16,,1,,,6000,1.5,,,,,,,,,
LinearTransformer,TNdr03_pp_biomass,GL_bus_biomass,TNdr03_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr03_pp_biomass,TNdr03_pp_biomass,TNdr03_bus_el,0.38,106,,1,8760,,29000,3.9,,,,,,,,,
Source,TNdr03_wind,TNdr03_wind,TNdr03_bus_el,,404,,,,seq,,,True,,,,,,,,
Source,TNdr03_solar,TNdr03_solar,TNdr03_bus_el,,2212,,,,seq,,,True,,,,,,,,
Source,TNdr03_run_of_river,TNdr03_run_of_river,TNdr03_bus_el,,7,,,,seq,,,TRUE,,,,,,,,
Source,TNdr03_geothermal,TNdr03_geothermal,TNdr03_bus_el,,125,,,,seq,,,True,,,,,,,,
Storage,TNdr03_storage_phs,TNdr03_bus_el,TNdr03_storage_phs,,200,,1,,,,0.000000001,,5000,0,0.9,0.9,0.5,0,1,
Storage,TNdr03_storage_phs,TNdr03_storage_phs,TNdr03_bus_el,,200,,1,,,,0.000000001,,,,,,,,,
Sink,TNdr03_load,TNdr03_bus_el,TNdr03_load,,1457,,,,seq,,,True,,,,,,,,
Source,TNdr03_hydroreservoir,TNdr03_hydroreservoir,TNdr03_bus_el,,16.1,,1,,seq,,,True,,,,,,,,
Storage,TNdr03_reservoir,TNdr03_bus_el,TNdr03_reservoir,,16.1,,1,,seq,,0.000000001,True,85000,0,1,1,0.5,0,1,
Storage,TNdr03_reservoir,TNdr03_reservoir,TNdr03_bus_el,,49,,1,,,,1E-10,,,,,,,,,
Storage,TNdr03_storage_battery,TNdr03_bus_el,TNdr03_storage_battery,,1E-16,,1,,,,0.000000001,,1910,0,0.9,0.9,0.5,0,1,
Storage,TNdr03_storage_battery,TNdr03_storage_battery,TNdr03_bus_el,,1E-16,,1,,,,0.000000001,,,,,,,,,
Source,TNdr03_csp_direct,TNdr03_csp_direct,TNdr03_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Source,TNdr03_csp,TNdr03_csp,TNdr03_bus_el,,2212,,1,,seq,,,True,,,,,,,,
Storage,TNdr03_cspstorage,TNdr03_bus_el,TNdr03_cspstorage,,2212,,1,,seq,,0.000000001,True,8848,0,0.9,0.9,1,0,1,
Storage,TNdr03_cspstorage,TNdr03_cspstorage,TNdr03_bus_el,,1106,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### TNdr04 - Tunisia Region 4,,,,,,,,,,,,,,,,,,,,
Sink,TNdr04_excess,TNdr04_bus_el,TNdr04_excess,,,,,,,,0.00000001,,,,,,,,,
Source,TNdr04_shortage,TNdr04_shortage,TNdr04_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,TNdr04_pp_hard_coal,GL_bus_hard_coal,TNdr04_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_pp_hard_coal,TNdr04_pp_hard_coal,TNdr04_bus_el,0.38,1E-16,,1,,,35000,4,,,,,,,,,
LinearTransformer,TNdr04_pp_gas,GL_bus_gas,TNdr04_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_pp_gas,TNdr04_pp_gas,TNdr04_bus_el,0.425,6400,,1,,,19000,2,,,,,,,,,
LinearTransformer,TNdr04_pp_oil,GL_bus_oil,TNdr04_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_pp_oil,TNdr04_pp_oil,TNdr04_bus_el,0.34,1E-16,,1,,,6000,1.5,,,,,,,,,
LinearTransformer,TNdr04_pp_biomass,GL_bus_biomass,TNdr04_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr04_pp_biomass,TNdr04_pp_biomass,TNdr04_bus_el,0.38,742,,1,8760,,29000,3.9,,,,,,,,,
Source,TNdr04_wind,TNdr04_wind,TNdr04_bus_el,,551,,,,seq,,,True,,,,,,,,
Source,TNdr04_solar,TNdr04_solar,TNdr04_bus_el,,3371,,,,seq,,,True,,,,,,,,
Source,TNdr04_run_of_river,TNdr04_run_of_river,TNdr04_bus_el,,7,,,,seq,,,TRUE,,,,,,,,
Source,TNdr04_geothermal,TNdr04_geothermal,TNdr04_bus_el,,125,,,,seq,,,True,,,,,,,,
Storage,TNdr04_storage_phs,TNdr04_bus_el,TNdr04_storage_phs,,200,,1,,,,0.000000001,,5000,0,0.9,0.9,0.5,0,1,
Storage,TNdr04_storage_phs,TNdr04_storage_phs,TNdr04_bus_el,,200,,1,,,,0.000000001,,,,,,,,,
Sink,TNdr04_load,TNdr04_bus_el,TNdr04_load,,10169,,,,seq,,,True,,,,,,,,
Source,TNdr04_hydroreservoir,TNdr04_hydroreservoir,TNdr04_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Storage,TNdr04_reservoir,TNdr04_bus_el,TNdr04_reservoir,,1E-16,,1,,seq,,0.000000001,True,1E-16,0,1,1,0.5,0,1,
Storage,TNdr04_reservoir,TNdr04_reservoir,TNdr04_bus_el,,1E-16,,1,,,,1E-10,,,,,,,,,
Storage,TNdr04_storage_battery,TNdr04_bus_el,TNdr04_storage_battery,,1E-16,,1,,,,0.000000001,,1570,0,0.9,0.9,0.5,0,1,
Storage,TNdr04_storage_battery,TNdr04_storage_battery,TNdr04_bus_el,,1E-16,,1,,,,0.000000001,,,,,,,,,
Source,TNdr04_csp_direct,TNdr04_csp_direct,TNdr04_bus_el,,1E-16,,1,,seq,,,True,,,,,,,,
Source,TNdr04_csp,TNdr04_csp,TNdr04_bus_el,,3370,,1,,seq,,,True,,,,,,,,
Storage,TNdr04_cspstorage,TNdr04_bus_el,TNdr04_cspstorage,,3370,,1,,seq,,0.000000001,True,13480,0,0.9,0.9,1,0,1,
Storage,TNdr04_cspstorage,TNdr04_cspstorage,TNdr04_bus_el,,1685,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DZ - Electric neighbour Algeria,,,,,,,,,,,,,,,,,,,,
Sink,DZ_excess,DZ_bus_el,DZ_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DZ_shortage,DZ_shortage,DZ_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,DZ_pp_hard_coal_0,GL_bus_hard_coal,DZ_pp_hard_coal_0,,,,,,,,,,,,,,,,,
LinearTransformer,DZ_pp_hard_coal_0,DZ_pp_hard_coal_0,DZ_bus_el,0.38,1E-16,,0.85,,,1E-10,4,,,,,,,,,
Source,DZ_pp_biomass,DZ_pp_biomass,DZ_bus_el,,1E-16,,,,0.85,,,True,,,,,,,,
Source,DZ_wind,DZ_wind,DZ_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,DZ_solar,DZ_solar,DZ_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,DZ_run_of_river,DZ_run_of_river,DZ_bus_el,,1E-16,,,,0,,,True,,,,,,,,
